# label seq crop_x crop_y crop_w crop_h score eye_x eye_y dx
closed 0001 302 174 206 75 0.914 404.7 205.4 103.2
closed 0002 302 176 197 71 0.906 400.7 205.4 98.3
closed 0003 294 177 206 75 0.906 396.6 207.8 103.2
closed 0004 298 184 200 73 0.905 398.2 214.1 100.0
closed 0005 292 178 206 75 0.903 395.0 208.6 103.2
closed 0006 298 177 187 68 0.879 391.8 205.4 93.5
closed 0007 295 177 206 75 0.905 398.2 207.8 103.2
closed 0008 296 182 210 76 0.906 400.7 213.3 104.8
closed 0009 298 177 203 74 0.897 399.1 207.8 101.6
closed 0010 301 184 203 74 0.901 402.3 214.9 101.6
closed 0011 300 179 206 75 0.903 403.1 210.1 103.2
closed 0012 306 183 200 73 0.903 406.3 213.3 100.0
closed 0013 299 181 203 74 0.895 400.7 211.7 101.6
closed 0014 301 178 200 73 0.914 401.5 207.8 100.0
closed 0015 300 177 200 73 0.908 399.9 207.0 100.0
closed 0016 300 178 200 73 0.906 399.9 208.6 100.0
closed 0017 301 175 200 73 0.912 401.5 205.4 100.0
closed 0018 299 182 203 74 0.912 400.7 212.5 101.6
closed 0019 299 180 203 74 0.908 400.7 210.1 101.6
closed 0020 298 178 206 75 0.905 401.5 208.6 103.2
closed 0021 305 175 184 67 0.873 397.4 203.1 91.9
closed 0022 307 179 184 67 0.855 399.1 207.0 91.9
closed 0023 296 178 190 69 0.797 390.7 206.2 95.1
closed 0024 297 182 197 71 0.903 395.8 211.7 98.3
closed 0025 300 175 193 70 0.905 396.6 203.8 96.7
closed 0026 300 187 193 70 0.901 396.6 215.6 96.7
closed 0027 287 178 200 73 0.903 387.0 207.8 100.0
closed 0028 294 193 197 71 0.893 392.6 222.7 98.3
closed 0029 306 191 187 68 0.906 399.9 219.6 93.5
closed 0030 309 187 190 69 0.897 403.9 215.6 95.1
closed 0031 304 190 190 69 0.895 399.1 218.8 95.1
closed 0032 306 197 187 68 0.905 399.9 225.1 93.5
closed 0033 304 190 190 69 0.903 399.1 218.8 95.1
closed 0034 302 190 184 67 0.899 394.2 217.2 91.9
closed 0035 305 185 187 68 0.905 398.2 213.3 93.5
closed 0036 304 193 190 69 0.903 399.1 221.9 95.1
closed 0037 303 189 187 68 0.903 396.6 217.2 93.5
closed 0038 295 191 193 70 0.899 391.8 219.6 96.7
closed 0039 299 191 190 69 0.897 394.2 219.6 95.1
closed 0040 296 187 190 69 0.897 391.0 215.6 95.1
closed 0041 298 191 190 69 0.892 392.6 219.6 95.1
closed 0042 298 187 187 68 0.897 391.8 214.9 93.5
closed 0043 288 203 184 67 0.864 379.7 230.6 91.9
closed 0044 293 186 187 68 0.897 387.0 214.1 93.5
closed 0045 290 190 187 68 0.895 383.7 218.0 93.5
closed 0046 290 189 190 69 0.890 384.5 217.2 95.1
closed 0047 290 186 193 70 0.897 387.0 214.9 96.7
closed 0048 300 187 187 68 0.893 393.4 214.9 93.5
closed 0049 295 188 193 70 0.893 391.8 216.4 96.7
closed 0050 298 185 190 69 0.897 392.6 213.3 95.1
closed 0051 300 188 187 68 0.903 393.4 215.6 93.5
closed 0052 291 189 190 69 0.899 386.2 217.2 95.1
closed 0053 300 184 187 68 0.899 393.4 212.5 93.5
closed 0054 302 191 187 68 0.886 395.0 219.6 93.5
closed 0055 289 182 197 71 0.892 387.8 211.7 98.3
closed 0056 294 191 193 70 0.893 390.2 219.6 96.7
closed 0057 299 194 184 67 0.901 391.0 221.9 91.9
closed 0058 289 180 193 70 0.897 385.4 208.6 96.7
closed 0059 290 188 193 70 0.884 387.0 217.2 96.7
closed 0060 293 188 190 69 0.886 387.8 216.4 95.1
closed 0061 295 186 187 68 0.903 388.6 214.1 93.5
closed 0062 293 184 184 67 0.897 384.5 211.7 91.9
closed 0063 283 197 190 69 0.882 378.1 225.9 95.1
closed 0064 281 190 190 69 0.895 376.5 218.8 95.1
closed 0065 277 194 190 69 0.870 371.6 222.7 95.1
closed 0066 288 186 184 67 0.899 379.7 214.1 91.9
closed 0067 285 185 187 68 0.895 378.9 213.3 93.5
closed 0068 296 189 177 64 0.884 384.5 215.6 88.7
closed 0069 295 188 181 66 0.897 385.4 215.6 90.3
closed 0070 309 179 187 68 0.879 402.8 207.0 93.5
closed 0071 290 187 190 69 0.901 384.5 215.6 95.1
closed 0072 292 190 187 68 0.910 385.4 218.0 93.5
closed 0073 281 179 200 73 0.899 380.5 209.3 100.0
closed 0074 274 178 200 73 0.890 374.1 207.8 100.0
closed 0075 279 185 193 70 0.888 375.7 214.1 96.7
closed 0076 303 179 174 63 0.870 390.2 205.4 87.1
closed 0077 282 184 193 70 0.886 378.9 212.5 96.7
closed 0078 289 189 187 68 0.905 382.1 217.2 93.5
closed 0079 284 186 193 70 0.910 380.5 214.9 96.7
closed 0080 281 189 197 71 0.912 379.7 218.8 98.3
closed 0081 286 192 193 70 0.905 382.1 221.1 96.7
closed 0082 282 190 193 70 0.908 378.9 218.8 96.7
closed 0083 281 187 197 71 0.906 379.7 216.4 98.3
closed 0084 282 192 193 70 0.905 378.9 221.1 96.7
closed 0085 281 191 193 70 0.906 377.3 220.4 96.7
closed 0086 284 188 193 70 0.908 380.5 216.4 96.7
closed 0087 283 191 197 71 0.895 381.3 220.4 98.3
closed 0088 282 191 193 70 0.912 378.9 219.6 96.7
closed 0089 282 189 193 70 0.905 378.9 218.0 96.7
closed 0090 275 181 203 74 0.906 376.5 211.7 101.6
closed 0091 273 183 203 74 0.912 374.9 213.3 101.6
closed 0092 282 190 193 70 0.905 378.9 218.8 96.7
closed 0093 278 186 197 71 0.912 376.5 214.9 98.3
closed 0094 281 188 193 70 0.914 377.3 216.4 96.7
closed 0095 278 187 197 71 0.914 376.5 216.4 98.3
closed 0096 274 184 200 73 0.901 374.1 214.1 100.0
closed 0097 276 182 200 73 0.912 375.7 211.7 100.0
closed 0098 284 195 187 68 0.890 377.3 223.5 93.5
closed 0099 278 183 197 71 0.912 376.5 212.5 98.3
