# label seq crop_x crop_y crop_w crop_h score eye_x eye_y dx
left 0001 350 216 206 75 0.921 453.3 247.1 103.2
left 0002 334 214 213 77 0.916 440.4 245.5 106.4
left 0003 334 213 206 75 0.923 437.2 243.9 103.2
left 0004 324 217 213 77 0.903 430.8 248.6 106.4
left 0005 322 206 213 77 0.925 428.9 237.6 106.4
left 0006 296 213 210 76 0.914 400.7 243.9 104.8
left 0007 292 211 210 76 0.912 397.4 242.4 104.8
left 0008 298 215 200 73 0.906 398.2 244.7 100.0
left 0009 310 210 203 74 0.910 412.0 240.8 101.6
left 0010 305 212 210 76 0.910 410.3 243.1 104.8
left 0011 305 219 197 71 0.893 403.9 248.6 98.3
left 0012 311 225 181 66 0.871 401.5 251.8 90.3
left 0013 307 215 203 74 0.906 408.7 245.5 101.6
left 0014 308 215 200 73 0.906 407.9 244.7 100.0
left 0015 307 212 206 75 0.906 409.5 243.1 103.2
left 0016 306 210 213 77 0.908 412.8 241.6 106.4
left 0017 313 215 210 76 0.908 418.4 246.3 104.8
left 0018 311 210 206 75 0.906 414.4 240.8 103.2
left 0019 309 211 210 76 0.903 413.6 242.4 104.8
left 0020 313 209 206 75 0.908 416.0 240.0 103.2
left 0021 310 210 203 74 0.897 412.0 240.8 101.6
left 0022 312 213 203 74 0.905 413.6 243.1 101.6
left 0023 310 211 206 75 0.906 412.8 242.4 103.2
left 0024 309 215 203 74 0.905 410.3 245.5 101.6
left 0025 306 217 200 73 0.897 406.3 247.1 100.0
left 0026 310 212 197 71 0.906 408.7 241.6 98.3
left 0027 310 217 203 74 0.903 412.0 247.9 101.6
left 0028 311 210 206 75 0.903 414.4 240.8 103.2
left 0029 311 210 200 73 0.908 411.1 240.0 100.0
left 0030 314 215 203 74 0.905 415.2 245.5 101.6
left 0031 317 212 203 74 0.905 418.4 242.4 101.6
left 0032 313 212 206 75 0.905 416.0 243.1 103.2
left 0033 308 213 206 75 0.910 411.1 243.9 103.2
left 0034 308 213 206 75 0.905 411.1 243.9 103.2
left 0035 314 208 203 74 0.906 415.2 238.4 101.6
left 0036 315 215 190 69 0.884 410.3 243.9 95.1
left 0037 319 214 200 73 0.901 419.2 243.9 100.0
left 0038 313 217 200 73 0.899 412.8 247.1 100.0
left 0039 311 212 206 75 0.906 414.4 243.1 103.2
left 0040 310 213 203 74 0.908 412.0 243.1 101.6
left 0041 313 215 206 75 0.906 416.0 245.5 103.2
left 0042 316 207 200 73 0.908 416.0 236.9 100.0
left 0043 322 219 184 67 0.880 413.6 246.3 91.9
left 0044 310 226 184 67 0.886 402.3 254.1 91.9
left 0045 311 218 193 70 0.895 407.9 247.1 96.7
left 0046 310 217 193 70 0.893 406.3 246.3 96.7
left 0047 311 212 200 73 0.906 411.1 242.4 100.0
left 0048 311 220 190 69 0.897 405.5 248.6 95.1
left 0049 314 213 200 73 0.906 414.4 243.1 100.0
left 0050 314 214 200 73 0.906 414.4 243.9 100.0
left 0051 319 215 190 69 0.876 413.6 243.9 95.1
left 0052 317 210 203 74 0.910 418.4 240.8 101.6
left 0053 314 207 200 73 0.910 414.4 237.6 100.0
left 0054 312 206 210 76 0.916 416.8 237.6 104.8
left 0055 311 212 200 73 0.912 411.1 242.4 100.0
left 0056 313 211 200 73 0.912 412.8 240.8 100.0
left 0057 315 208 203 74 0.912 416.8 238.4 101.6
left 0058 314 209 203 74 0.914 415.2 240.0 101.6
left 0059 313 210 200 73 0.912 412.8 240.0 100.0
left 0060 318 207 200 73 0.914 417.6 236.9 100.0
left 0061 316 208 200 73 0.910 416.0 238.4 100.0
left 0062 316 209 200 73 0.912 416.0 239.2 100.0
left 0063 314 209 200 73 0.910 414.4 239.2 100.0
left 0064 312 212 197 71 0.910 410.3 241.6 98.3
left 0065 318 208 197 71 0.912 416.8 236.9 98.3
left 0066 314 208 200 73 0.912 414.4 238.4 100.0
left 0067 315 209 203 74 0.910 416.8 239.2 101.6
left 0068 316 208 200 73 0.912 416.0 238.4 100.0
left 0069 313 208 200 73 0.914 412.8 238.4 100.0
left 0070 317 210 197 71 0.908 415.2 239.2 98.3
left 0071 313 208 197 71 0.908 412.0 237.6 98.3
left 0072 316 209 200 73 0.914 416.0 239.2 100.0
left 0073 317 209 197 71 0.914 415.2 238.4 98.3
left 0074 311 210 200 73 0.912 411.1 240.0 100.0
left 0075 316 207 200 73 0.912 416.0 236.9 100.0
left 0076 314 207 200 73 0.912 414.4 237.6 100.0
left 0077 316 211 200 73 0.916 416.0 240.8 100.0
left 0078 312 206 203 74 0.916 413.6 236.9 101.6
left 0079 309 212 203 74 0.914 410.3 242.4 101.6
left 0080 316 210 193 70 0.906 412.8 238.4 96.7
left 0081 312 213 203 74 0.908 413.6 243.1 101.6
left 0082 316 211 193 70 0.908 412.8 240.0 96.7
left 0083 318 212 197 71 0.906 416.8 241.6 98.3
left 0084 313 210 200 73 0.914 412.8 240.0 100.0
left 0085 318 209 197 71 0.910 416.8 238.4 98.3
left 0086 313 211 197 71 0.912 412.0 240.0 98.3
left 0087 316 209 193 70 0.906 412.8 237.6 96.7
left 0088 316 210 193 70 0.912 412.8 239.2 96.7
left 0089 316 215 193 70 0.905 412.8 243.9 96.7
left 0090 315 209 197 71 0.899 413.6 238.4 98.3
left 0091 313 211 197 71 0.901 412.0 240.0 98.3
left 0092 313 213 193 70 0.897 409.5 241.6 96.7
left 0093 318 216 193 70 0.899 414.4 244.7 96.7
left 0094 313 215 187 68 0.897 406.3 243.1 93.5
left 0095 311 211 193 70 0.895 407.9 240.0 96.7
left 0096 317 229 171 62 0.829 402.3 254.9 85.4
left 0097 313 218 197 71 0.891 412.0 247.1 98.3
left 0098 311 214 200 73 0.893 411.1 243.9 100.0
