# label seq crop_x crop_y crop_w crop_h score eye_x eye_y dx
test 0001 297 211 200 97 0.923 396.6 240.8 100.0
test 0002 302 215 190 92 0.916 397.4 243.9 95.1
test 0003 300 214 193 93 0.918 396.6 242.4 96.7
test 0004 305 218 187 90 0.918 398.2 245.5 93.5
test 0005 299 214 193 93 0.916 395.0 243.1 96.7
test 0006 275 187 245 118 0.914 398.0 223.5 122.5
test 0007 276 190 245 118 0.919 398.2 226.6 122.5
test 0008 281 194 242 117 0.921 402.3 230.6 120.9
test 0009 280 191 248 120 0.914 403.9 228.2 124.1
test 0010 285 190 242 117 0.918 405.5 226.6 120.9
test 0011 292 214 193 70 0.925 388.6 243.1 96.7
test 0012 284 221 193 70 0.918 380.5 249.4 96.7
test 0013 284 222 197 71 0.918 382.9 251.8 98.3
test 0014 286 225 190 69 0.916 381.3 253.4 95.1
test 0015 288 223 190 69 0.916 382.9 251.8 95.1
