# label seq crop_x crop_y crop_w crop_h score eye_x eye_y dx
open 0001 285 220 187 68 0.919 378.9 247.9 93.5
open 0002 282 224 187 68 0.916 375.7 251.8 93.5
open 0003 284 218 184 67 0.912 376.5 245.5 91.9
open 0004 274 217 193 70 0.918 370.8 245.5 96.7
open 0005 279 219 193 70 0.921 375.7 247.9 96.7
open 0006 274 218 187 68 0.903 367.6 246.3 93.5
open 0007 276 221 187 68 0.910 369.2 249.4 93.5
open 0008 279 220 187 68 0.916 372.5 247.9 93.5
open 0009 306 222 147 53 0.875 379.8 243.5 73.7
open 0010 284 225 174 63 0.897 370.8 251.0 87.1
open 0011 285 224 177 64 0.912 373.3 250.2 88.7
open 0012 280 223 181 66 0.908 370.8 250.2 90.3
open 0013 280 225 184 67 0.908 371.6 252.6 91.9
open 0014 283 224 184 67 0.916 374.9 251.8 91.9
open 0015 281 224 184 67 0.918 373.3 251.8 91.9
open 0016 304 229 140 51 0.888 374.5 250.3 70.2
open 0017 281 223 187 68 0.912 374.1 251.0 93.5
open 0018 279 224 187 68 0.914 372.5 252.6 93.5
open 0019 291 230 171 62 0.908 376.5 255.7 85.4
open 0020 288 233 168 61 0.901 372.5 258.1 83.8
open 0021 288 229 171 62 0.908 373.3 254.1 85.4
open 0022 290 230 174 63 0.906 377.3 256.5 87.1
open 0023 299 217 167 61 0.899 382.4 241.8 83.6
open 0024 288 230 168 61 0.901 372.5 254.9 83.8
open 0025 288 230 168 61 0.895 372.5 254.9 83.8
open 0026 290 231 164 59 0.906 371.6 255.7 82.2
open 0027 284 226 181 66 0.906 374.1 253.4 90.3
open 0028 280 230 181 66 0.905 370.8 257.3 90.3
open 0029 282 229 177 64 0.905 370.0 255.7 88.7
open 0030 283 229 177 64 0.905 371.6 254.9 88.7
open 0031 285 225 181 66 0.912 375.7 251.8 90.3
open 0032 281 229 174 63 0.905 367.6 254.9 87.1
open 0033 282 229 174 63 0.908 369.2 254.9 87.1
open 0034 284 232 168 61 0.906 367.6 257.3 83.8
open 0035 291 231 164 59 0.908 373.3 255.7 82.2
open 0036 282 231 168 61 0.906 366.0 256.5 83.8
open 0037 288 229 171 62 0.901 373.3 254.9 85.4
open 0038 284 231 168 61 0.905 367.6 256.5 83.8
open 0039 288 232 164 59 0.901 370.0 256.5 82.2
