# label seq crop_x crop_y crop_w crop_h score eye_x eye_y dx
right 0001 302 228 177 64 0.916 391.0 254.1 88.7
right 0002 307 229 177 64 0.908 395.8 254.9 88.7
right 0003 309 230 168 61 0.910 393.4 254.9 83.8
right 0004 302 229 171 62 0.905 387.8 254.1 85.4
right 0005 309 225 181 66 0.914 399.9 251.8 90.3
right 0006 301 223 190 69 0.912 395.8 251.8 95.1
right 0007 306 225 187 68 0.908 399.9 253.4 93.5
right 0008 305 228 187 68 0.910 398.2 256.5 93.5
right 0009 300 227 174 63 0.905 387.0 252.6 87.1
right 0010 304 227 177 64 0.910 392.6 253.4 88.7
right 0011 306 224 187 68 0.908 399.9 252.6 93.5
right 0012 308 228 181 66 0.916 398.2 254.9 90.3
right 0013 310 227 174 63 0.912 396.6 252.6 87.1
right 0014 307 226 184 67 0.910 399.1 253.4 91.9
right 0015 307 225 184 67 0.918 399.1 252.6 91.9
right 0016 295 225 181 66 0.899 385.4 251.8 90.3
right 0017 298 228 181 66 0.912 388.6 255.7 90.3
right 0018 300 232 187 68 0.906 393.4 259.6 93.5
right 0019 296 229 177 64 0.903 384.5 255.7 88.7
right 0020 301 231 158 57 0.892 379.7 254.4 79.0
right 0021 295 227 187 68 0.908 388.6 254.9 93.5
right 0022 297 223 187 68 0.916 390.2 251.0 93.5
right 0023 289 231 187 68 0.905 382.1 258.9 93.5
right 0024 302 236 171 62 0.914 387.8 261.2 85.4
right 0025 301 238 168 61 0.903 385.4 262.8 83.8
right 0026 306 234 164 59 0.908 387.8 258.1 82.2
right 0027 301 237 168 61 0.890 385.4 262.0 83.8
right 0028 306 233 161 58 0.899 387.0 256.5 80.6
right 0029 313 237 161 58 0.905 393.4 261.2 80.6
right 0030 308 234 168 61 0.897 391.8 259.6 83.8
right 0031 313 235 161 58 0.891 393.4 258.9 80.6
right 0032 318 231 155 56 0.901 395.0 254.4 77.4
right 0033 330 248 147 53 0.871 403.5 269.8 73.7
right 0034 330 232 146 53 0.887 402.6 253.6 73.1
right 0035 331 238 151 55 0.880 406.1 260.5 75.4
right 0036 321 232 160 58 0.889 401.5 255.6 80.1
right 0037 305 240 161 58 0.886 385.4 263.6 80.6
right 0038 320 237 143 52 0.895 391.0 258.3 71.3
right 0039 323 241 153 55 0.877 399.1 263.3 76.6
right 0040 322 237 152 55 0.891 397.7 259.9 76.0
right 0041 314 232 168 61 0.885 397.7 257.4 84.2
right 0042 328 230 151 55 0.878 403.8 252.6 75.4
right 0043 306 234 158 57 0.875 384.5 257.6 79.0
right 0044 333 242 130 47 0.877 397.8 261.6 64.9
right 0045 331 234 151 55 0.889 406.1 257.1 75.4
right 0046 311 239 161 58 0.882 391.8 262.8 80.6
right 0047 311 237 164 59 0.886 392.6 261.2 82.2
right 0048 313 240 161 58 0.880 393.4 264.4 80.6
right 0049 328 239 144 52 0.866 400.3 260.2 71.9
right 0050 311 234 168 61 0.893 395.0 259.6 83.8
right 0051 309 236 168 61 0.884 393.4 261.2 83.8
right 0052 317 230 171 62 0.878 402.3 255.4 85.4
right 0053 310 238 171 62 0.888 395.8 263.6 85.4
right 0054 312 234 164 59 0.893 394.2 258.9 82.2
right 0055 315 238 148 54 0.888 388.6 260.7 74.2
right 0056 310 236 171 62 0.897 395.8 261.2 85.4
right 0057 311 234 168 61 0.903 395.0 258.9 83.8
right 0058 333 240 119 43 0.848 392.2 257.4 59.6
right 0059 301 240 164 59 0.864 382.9 264.4 82.2
right 0060 309 236 171 62 0.888 394.2 261.2 85.4
right 0061 329 238 123 45 0.844 390.8 257.1 61.4
right 0062 325 247 149 54 0.880 399.1 268.9 74.3
right 0063 333 244 105 38 0.792 385.8 259.9 52.6
right 0064 341 242 136 49 0.876 409.4 262.5 67.8
right 0065 333 242 146 53 0.877 406.1 264.4 73.1
right 0066 331 234 146 53 0.874 404.4 255.9 73.1
right 0067 314 234 164 59 0.882 395.8 258.9 82.2
right 0068 314 235 168 61 0.888 398.2 260.4 83.8
right 0069 315 231 177 64 0.893 403.9 257.3 88.7
right 0070 315 226 184 67 0.905 407.1 253.4 91.9
right 0071 323 229 177 64 0.908 412.0 254.9 88.7
right 0072 316 231 174 63 0.906 403.1 257.3 87.1
right 0073 318 228 184 67 0.912 410.3 255.7 91.9
right 0074 322 226 184 67 0.914 413.6 253.4 91.9
right 0075 317 232 177 64 0.899 405.5 258.9 88.7
right 0076 325 228 177 64 0.910 413.6 254.1 88.7
right 0077 298 237 181 66 0.901 388.6 264.4 90.3
right 0078 313 238 155 56 0.901 390.2 261.5 77.4
right 0079 306 238 174 63 0.899 393.4 264.4 87.1
right 0080 305 236 181 66 0.893 395.0 263.6 90.3
right 0081 305 231 174 63 0.895 391.8 257.3 87.1
right 0082 310 233 171 62 0.897 395.8 258.9 85.4
right 0083 311 234 168 61 0.895 395.0 258.9 83.8
right 0084 316 234 155 56 0.897 393.4 256.8 77.4
right 0085 306 233 168 61 0.899 390.2 258.1 83.8
right 0086 313 234 168 61 0.899 396.6 258.9 83.8
right 0087 314 234 168 61 0.895 398.2 258.9 83.8
right 0088 309 236 168 61 0.895 393.4 261.2 83.8
right 0089 308 238 168 61 0.888 391.8 262.8 83.8
right 0090 309 233 184 67 0.903 400.7 260.4 91.9
right 0091 294 233 161 58 0.903 374.1 256.8 80.6
right 0092 306 232 145 53 0.903 378.1 253.6 72.5
right 0093 324 241 133 48 0.866 390.5 260.5 66.7
right 0094 332 248 131 47 0.844 397.7 267.5 65.5
right 0095 337 250 131 47 0.852 402.3 269.8 65.5
right 0096 318 240 134 49 0.897 384.9 260.0 67.2
right 0097 318 235 139 50 0.889 387.8 255.5 69.6
right 0098 297 233 168 61 0.882 380.5 258.1 83.8
right 0099 297 232 168 61 0.897 380.5 257.3 83.8
right 0100 287 236 161 58 0.870 367.6 260.4 80.6
right 0101 304 232 171 62 0.886 389.4 258.1 85.4
right 0102 303 235 168 61 0.899 387.0 260.4 83.8
right 0103 333 232 112 41 0.809 389.3 249.2 56.1
right 0104 295 232 174 63 0.895 382.1 258.1 87.1
right 0105 301 238 164 59 0.895 382.9 262.0 82.2
right 0106 298 238 168 61 0.890 382.1 262.8 83.8
right 0107 304 238 164 59 0.897 386.2 262.0 82.2
right 0108 318 235 143 52 0.885 389.3 256.0 71.3
right 0109 297 236 168 61 0.893 380.5 261.2 83.8
right 0110 328 234 117 42 0.850 386.4 251.2 58.5
right 0111 326 234 137 50 0.891 394.3 254.6 68.4
right 0112 311 229 161 58 0.903 391.8 252.8 80.6
right 0113 310 239 158 57 0.894 389.4 262.8 79.0
right 0114 315 237 144 52 0.887 386.7 258.3 71.9
right 0115 324 234 139 50 0.889 393.1 254.9 69.6
right 0116 320 235 144 52 0.893 391.9 256.3 71.9
right 0117 309 239 158 57 0.892 387.8 262.8 79.0
right 0118 339 242 130 47 0.846 403.8 261.5 64.9
right 0119 318 243 133 48 0.880 384.6 262.6 66.7
right 0120 325 237 132 48 0.861 390.8 256.8 66.1
right 0121 319 232 141 51 0.886 389.6 253.2 70.7
right 0122 313 229 151 55 0.887 388.4 251.8 75.4
right 0123 309 238 155 56 0.888 387.0 261.2 77.4
right 0124 309 240 155 56 0.903 387.0 262.8 77.4
right 0125 306 229 168 61 0.901 390.2 254.4 83.8
right 0126 310 230 161 58 0.908 390.2 253.6 80.6
right 0127 309 237 164 59 0.903 391.0 261.2 82.2
right 0128 302 232 174 63 0.905 388.6 258.1 87.1
right 0129 299 236 171 62 0.903 384.5 261.2 85.4
right 0130 306 237 161 58 0.903 387.0 261.2 80.6
right 0131 293 234 177 64 0.897 381.3 260.4 88.7
right 0132 297 236 161 58 0.899 377.3 260.4 80.6
right 0133 313 234 141 51 0.889 383.7 255.5 70.7
right 0134 313 229 154 56 0.897 389.9 252.3 77.2
right 0135 310 236 152 55 0.901 386.2 258.3 75.8
right 0136 320 239 140 51 0.891 389.9 259.7 70.2
right 0137 316 235 144 52 0.897 387.8 256.6 71.9
right 0138 308 234 155 56 0.903 385.4 256.8 77.4
right 0139 301 234 155 56 0.897 378.9 256.8 77.4
right 0140 293 235 168 61 0.903 377.3 260.4 83.8
right 0141 293 235 168 61 0.888 377.3 260.4 83.8
right 0142 309 233 149 54 0.866 383.7 255.7 74.3
right 0143 310 234 145 53 0.874 382.9 255.5 72.5
right 0144 302 231 152 55 0.890 378.1 253.6 75.8
right 0145 305 228 159 58 0.881 384.0 252.0 79.5
right 0146 301 231 158 57 0.894 379.7 254.4 79.0
right 0147 303 238 148 54 0.881 377.3 259.9 74.2
right 0148 288 234 168 61 0.881 372.5 258.9 83.8
right 0149 293 237 158 57 0.897 371.6 260.4 79.0
right 0150 295 228 168 61 0.897 378.9 253.6 83.8
right 0151 294 237 158 57 0.875 373.3 260.4 79.0
right 0152 281 233 171 62 0.886 366.8 258.9 85.4
right 0153 294 230 164 59 0.910 376.5 254.4 82.2
right 0154 285 237 164 59 0.864 366.8 261.2 82.2
right 0155 290 238 164 59 0.890 371.6 262.8 82.2
right 0156 293 237 158 57 0.888 371.6 260.7 79.0
right 0157 302 236 145 53 0.864 374.9 258.3 72.5
right 0158 299 234 171 62 0.897 384.5 259.9 85.4
right 0159 286 232 190 69 0.918 381.3 260.4 95.1
right 0160 284 231 193 70 0.914 380.5 259.6 96.7
right 0161 286 234 190 69 0.914 381.3 262.0 95.1
right 0162 284 230 197 71 0.914 382.9 258.9 98.3
right 0163 290 230 190 69 0.914 384.5 258.9 95.1
right 0164 287 232 187 68 0.916 380.5 259.6 93.5
right 0165 284 228 193 70 0.918 380.5 257.3 96.7
right 0166 286 230 197 71 0.919 384.5 258.9 98.3
right 0167 286 226 197 71 0.919 384.5 254.9 98.3
right 0168 287 228 193 70 0.919 383.7 256.5 96.7
right 0169 286 228 193 70 0.919 382.1 257.3 96.7
right 0170 289 229 197 71 0.921 387.8 258.1 98.3
right 0171 288 233 197 71 0.912 386.2 262.0 98.3
right 0172 290 228 193 70 0.918 387.0 256.5 96.7
right 0173 286 227 197 71 0.921 384.5 256.5 98.3
right 0174 289 226 200 73 0.921 388.6 256.5 100.0
right 0175 282 229 200 73 0.925 382.1 258.9 100.0
right 0176 284 226 200 73 0.921 383.7 255.7 100.0
right 0177 281 226 197 71 0.916 379.7 254.9 98.3
right 0178 282 233 187 68 0.912 375.7 261.2 93.5
right 0179 288 232 184 67 0.910 379.7 259.9 91.9
right 0180 288 233 181 66 0.912 378.9 259.9 90.3
right 0181 278 228 193 70 0.918 374.1 256.5 96.7
right 0182 275 226 197 71 0.912 373.3 255.7 98.3
right 0183 270 227 197 71 0.914 368.4 256.5 98.3
right 0184 282 228 200 73 0.923 382.1 258.1 100.0
right 0185 277 225 200 73 0.921 377.3 254.9 100.0
right 0186 276 229 200 73 0.918 375.7 258.9 100.0
right 0187 277 225 200 73 0.918 377.3 254.9 100.0
right 0188 276 224 200 73 0.919 375.7 254.1 100.0
right 0189 272 226 200 73 0.918 372.5 256.5 100.0
right 0190 272 226 200 73 0.918 372.5 256.5 100.0
right 0191 271 226 200 73 0.921 370.8 256.5 100.0
right 0192 279 226 200 73 0.925 378.9 255.7 100.0
right 0193 273 222 203 74 0.927 374.9 252.6 101.6
right 0194 272 224 200 73 0.916 372.5 254.1 100.0
right 0195 272 222 200 73 0.919 372.5 251.8 100.0
right 0196 274 222 200 73 0.919 374.1 252.6 100.0
right 0197 273 224 197 71 0.919 371.6 253.4 98.3
right 0198 276 224 193 70 0.921 372.5 252.6 96.7
right 0199 276 222 193 70 0.918 372.5 251.0 96.7
right 0200 276 226 200 73 0.916 375.7 255.7 100.0
right 0201 277 223 203 74 0.923 378.1 253.4 101.6
right 0202 272 222 197 71 0.908 370.0 251.8 98.3
right 0203 280 226 197 71 0.919 378.1 254.9 98.3
right 0204 277 222 200 73 0.923 377.3 251.8 100.0
right 0205 274 222 206 75 0.925 377.3 252.6 103.2
right 0206 272 220 203 74 0.925 373.3 251.0 101.6
right 0207 273 222 197 71 0.919 371.6 251.8 98.3
right 0208 276 224 193 70 0.919 372.5 253.4 96.7
right 0209 281 226 197 71 0.919 379.7 255.7 98.3
right 0210 289 236 174 63 0.906 375.7 262.0 87.1
right 0211 286 226 190 69 0.918 381.3 254.9 95.1
right 0212 297 236 158 57 0.894 376.5 259.9 79.0
right 0213 309 241 147 53 0.867 382.1 262.8 73.7
right 0214 309 243 157 57 0.891 387.5 266.9 78.3
right 0215 306 242 138 50 0.869 375.1 262.5 69.0
right 0216 313 243 143 52 0.871 384.0 264.2 71.3
right 0217 311 246 134 49 0.878 378.3 266.2 67.2
right 0218 307 238 147 53 0.886 380.9 259.6 73.7
right 0219 300 235 160 58 0.871 380.2 258.9 80.1
right 0220 282 235 168 61 0.905 366.0 259.9 83.8
